"날짜","종가","시가","고가","저가","거래량","변동 %"
"1989- 10- 02","475.19","475.19","475.19","472.37","","0.48%"
"1989- 09- 29","472.92","472.92","473.28","471.10","","0.38%"
"1989- 09- 28","471.14","471.14","471.15","467.74","","0.72%"
"1989- 09- 27","467.77","467.77","467.88","464.83","","-0.01%"
"1989- 09- 26","467.84","467.84","468.39","466.64","","0.24%"
"1989- 09- 25","466.71","466.71","468.51","466.16","","-0.29%"
"1989- 09- 22","468.07","468.07","468.18","466.44","","0.23%"
"1989- 09- 21","467.00","467.00","468.43","466.43","","0.06%"
"1989- 09- 20","466.72","466.72","467.62","466.12","","-0.07%"
"1989- 09- 19","467.05","467.05","467.74","466.67","","0.03%"
"1989- 09- 18","466.89","466.89","467.60","465.94","","-0.15%"
"1989- 09- 15","467.57","467.57","470.14","467.11","","-0.26%"
"1989- 09- 14","468.78","468.78","471.86","468.71","","-0.65%"
"1989- 09- 13","471.83","471.83","474.56","471.67","","-0.01%"
"1989- 09- 12","471.86","471.86","472.12","470.34","","0.31%"
"1989- 09- 11","470.42","470.42","471.40","469.35","","-0.19%"
"1989- 09- 08","471.31","471.31","471.58","468.34","","0.35%"
"1989- 09- 07","469.68","469.68","470.67","469.27","","0.09%"
"1989- 09- 06","469.25","469.25","471.42","467.57","","-0.46%"
"1989- 09- 05","471.42","471.42","472.45","471.05","","0.02%"
"1989- 09- 01","471.34","471.34","471.55","469.34","","0.43%"
"1989- 08- 31","469.33","469.33","469.42","468.27","","0.23%"
"1989- 08- 30","468.27","468.27","468.54","466.54","","0.36%"
"1989- 08- 29","466.57","466.57","467.92","465.83","","-0.13%"
"1989- 08- 28","467.19","467.19","467.20","465.44","","0.09%"
"1989- 08- 25","466.75","466.75","467.18","465.80","","0.19%"
"1989- 08- 24","465.88","465.88","466.01","461.67","","0.91%"
"1989- 08- 23","461.68","461.68","461.71","458.36","","0.72%"
"1989- 08- 22","458.36","458.36","458.44","456.49","","0.01%"
"1989- 08- 21","458.33","458.33","462.54","458.28","","-0.79%"
"1989- 08- 18","461.97","461.97","462.18","460.66","","0.25%"
"1989- 08- 17","460.83","460.83","461.44","459.64","","0.01%"
"1989- 08- 16","460.79","460.79","462.27","460.21","","-0.03%"
"1989- 08- 15","460.91","460.91","461.01","459.90","","0.20%"
"1989- 08- 14","459.99","459.99","462.47","459.82","","-0.54%"
"1989- 08- 11","462.48","462.48","466.14","462.05","","-0.23%"
"1989- 08- 10","463.55","463.55","464.04","460.93","","0.25%"
"1989- 08- 09","462.41","462.41","463.93","462.33","","-0.19%"
"1989- 08- 08","463.30","463.30","463.51","461.40","","0.34%"
"1989- 08- 07","461.73","461.73","461.82","457.42","","0.94%"
"1989- 08- 04","457.42","457.42","457.81","455.32","","0.11%"
"1989- 08- 03","456.93","456.93","457.21","454.08","","0.63%"
"1989- 08- 02","454.08","454.08","454.13","452.41","","0.17%"
"1989- 08- 01","453.29","453.29","455.50","453.09","","-0.12%"
"1989- 07- 31","453.84","453.84","453.86","451.87","","0.23%"
"1989- 07- 28","452.82","452.82","452.99","451.74","","0.08%"
"1989- 07- 27","452.48","452.48","452.64","449.12","","0.75%"
"1989- 07- 26","449.12","449.12","449.12","446.15","","0.59%"
"1989- 07- 25","446.47","446.47","448.55","445.93","","0.11%"
"1989- 07- 24","445.98","445.98","449.29","445.89","","-0.74%"
"1989- 07- 21","449.29","449.29","449.84","447.72","","0.01%"
"1989- 07- 20","449.24","449.24","452.08","449.16","","-0.44%"
"1989- 07- 19","451.23","451.23","451.23","447.87","","0.75%"
"1989- 07- 18","447.86","447.86","449.89","447.32","","-0.45%"
"1989- 07- 17","449.88","449.88","450.07","448.06","","0.22%"
"1989- 07- 14","448.90","448.90","448.98","446.71","","0.23%"
"1989- 07- 13","447.89","447.89","448.11","446.40","","0.24%"
"1989- 07- 12","446.81","446.81","446.83","444.26","","0.52%"
"1989- 07- 11","444.50","444.50","444.91","442.67","","0.41%"
"1989- 07- 10","442.69","442.69","443.14","442.19","","0.06%"
"1989- 07- 07","442.42","442.42","443.09","439.52","","0.65%"
"1989- 07- 06","439.57","439.57","439.59","436.93","","0.60%"
"1989- 07- 05","436.94","436.94","437.11","435.02","","0.22%"
"1989- 07- 03","436.00","436.00","436.14","434.35","","0.16%"
"1989- 06- 30","435.29","435.29","438.04","431.72","","-0.60%"
