"날짜","종가","시가","고가","저가","거래량","변동 %"
"1995- 07- 21","961.77","959.25","968.06","957.77","","0.12%"
"1995- 07- 20","960.57","955.97","962.26","951.73","","0.81%"
"1995- 07- 19","952.83","972.44","988.53","936.97","","-3.61%"
"1995- 07- 18","988.53","1,005.65","1,007.79","987.23","","-1.73%"
"1995- 07- 17","1,005.89","1,000.73","1,007.34","999.20","","0.66%"
"1995- 07- 14","999.33","988.96","999.39","984.04","","0.52%"
"1995- 07- 13","994.15","989.27","999.73","987.94","","0.56%"
"1995- 07- 12","988.63","975.90","988.73","970.21","","1.90%"
"1995- 07- 11","970.22","975.39","976.62","970.09","","-0.66%"
"1995- 07- 10","976.63","970.41","977.94","969.77","","0.71%"
"1995- 07- 07","969.76","952.90","969.77","952.39","","1.77%"
"1995- 07- 06","952.93","943.32","953.00","941.82","","1.18%"
"1995- 07- 05","941.82","937.05","943.49","934.53","","0.78%"
"1995- 07- 03","934.53","933.99","935.39","931.95","","0.12%"
"1995- 06- 30","933.45","928.02","934.04","926.81","","0.72%"
"1995- 06- 29","926.81","921.04","927.98","919.80","","0.68%"
"1995- 06- 28","920.52","918.08","922.09","912.91","","0.10%"
"1995- 06- 27","919.56","925.19","929.59","918.74","","-0.80%"
"1995- 06- 26","926.98","938.33","939.27","926.70","","-1.27%"
"1995- 06- 23","938.87","938.65","940.21","936.62","","-0.13%"
"1995- 06- 22","940.09","940.16","940.16","929.10","","1.17%"
"1995- 06- 21","929.19","931.61","933.81","925.88","","-0.07%"
"1995- 06- 20","929.83","924.11","929.87","922.09","","0.84%"
"1995- 06- 19","922.09","909.90","922.23","908.63","","1.48%"
"1995- 06- 16","908.65","904.37","908.69","902.68","","0.66%"
"1995- 06- 15","902.68","896.33","904.06","895.72","","0.78%"
"1995- 06- 14","895.72","892.26","896.31","890.81","","0.17%"
"1995- 06- 13","894.23","890.51","894.30","887.98","","0.70%"
"1995- 06- 12","887.98","885.55","889.41","884.31","","0.41%"
"1995- 06- 09","884.38","885.72","886.23","880.42","","-0.20%"
"1995- 06- 08","886.13","882.18","886.40","881.51","","0.52%"
"1995- 06- 07","881.58","880.41","883.08","878.09","","0.25%"
"1995- 06- 06","879.40","882.83","886.06","879.40","","-0.39%"
"1995- 06- 05","882.85","875.25","884.38","872.83","","1.13%"
"1995- 06- 02","872.97","867.12","875.25","863.76","","0.48%"
"1995- 06- 01","868.82","865.67","870.25","864.14","","0.49%"
"1995- 05- 31","864.58","859.17","864.64","851.56","","0.68%"
"1995- 05- 30","858.70","872.77","873.87","857.57","","-1.51%"
"1995- 05- 26","871.87","876.26","877.33","869.87","","-0.62%"
"1995- 05- 25","877.32","877.74","878.87","871.60","","-0.08%"
"1995- 05- 24","877.98","882.90","886.10","875.71","","-0.19%"
"1995- 05- 23","879.64","872.01","879.80","871.17","","0.97%"
"1995- 05- 22","871.18","865.57","871.66","864.32","","0.76%"
"1995- 05- 19","864.57","862.28","865.05","858.56","","0.06%"
"1995- 05- 18","864.06","872.53","874.57","863.68","","-0.90%"
"1995- 05- 17","871.93","869.50","874.63","868.25","","0.42%"
"1995- 05- 16","868.25","863.39","869.01","862.39","","0.60%"
"1995- 05- 15","863.06","859.74","863.58","857.89","","0.48%"
"1995- 05- 12","858.94","853.74","860.04","852.40","","0.60%"
"1995- 05- 11","853.83","847.12","853.86","846.04","","0.73%"
"1995- 05- 10","847.62","850.48","852.22","845.70","","-0.06%"
"1995- 05- 09","848.17","850.42","851.96","845.25","","-0.13%"
"1995- 05- 08","849.29","843.48","849.89","842.44","","0.68%"
"1995- 05- 05","843.53","849.07","850.93","842.51","","-0.38%"
"1995- 05- 04","846.75","851.50","856.83","845.89","","-0.41%"
"1995- 05- 03","850.26","842.75","850.27","841.71","","1.01%"
"1995- 05- 02","841.79","841.93","842.94","839.26","","0.02%"
"1995- 05- 01","841.63","844.72","846.57","841.59","","-0.28%"
"1995- 04- 28","843.98","841.66","844.45","837.41","","0.36%"
"1995- 04- 27","840.95","837.15","842.73","836.87","","0.48%"
"1995- 04- 26","836.91","830.47","836.91","829.10","","0.68%"
"1995- 04- 25","831.28","829.62","832.31","828.60","","0.29%"
"1995- 04- 24","828.91","823.25","829.67","821.44","","0.66%"
"1995- 04- 21","823.44","821.39","823.72","819.01","","0.54%"
"1995- 04- 20","819.01","817.89","819.43","813.76","","0.30%"
"1995- 04- 19","816.55","825.07","825.81","812.61","","-1.11%"
"1995- 04- 18","825.74","833.37","834.69","824.95","","-0.61%"
"1995- 04- 17","830.82","835.15","839.60","829.80","","-0.22%"
"1995- 04- 13","832.64","829.06","833.04","828.37","","0.50%"
"1995- 04- 12","828.53","825.49","828.58","823.47","","0.45%"
"1995- 04- 11","824.83","824.12","825.94","821.26","","0.43%"
"1995- 04- 10","821.26","814.44","821.51","813.74","","0.81%"
"1995- 04- 07","814.69","814.84","816.25","811.50","","0.11%"
"1995- 04- 06","813.80","816.93","818.23","813.43","","-0.31%"
"1995- 04- 05","816.32","813.68","816.46","810.82","","0.32%"
"1995- 04- 04","813.72","817.06","820.68","813.52","","-0.53%"
"1995- 04- 03","818.05","816.06","818.33","812.23","","0.10%"
"1995- 03- 31","817.21","813.24","817.32","806.27","","0.04%"
"1995- 03- 30","816.86","820.65","822.31","811.15","","-0.28%"
"1995- 03- 29","819.16","826.10","830.01","817.02","","-0.84%"
"1995- 03- 28","826.14","822.91","826.25","821.44","","0.43%"
"1995- 03- 27","822.63","817.88","822.66","817.06","","0.48%"
"1995- 03- 24","818.66","812.96","818.68","811.39","","0.90%"
"1995- 03- 23","811.39","809.30","813.36","808.88","","0.28%"
"1995- 03- 22","809.10","808.65","809.85","806.63","","-0.08%"
"1995- 03- 21","809.78","811.06","814.23","808.83","","-0.09%"
"1995- 03- 20","810.49","808.35","811.04","807.31","","0.27%"
"1995- 03- 17","808.33","811.03","811.45","807.27","","-0.12%"
"1995- 03- 16","809.34","807.18","809.69","806.60","","0.24%"
"1995- 03- 15","807.38","807.98","808.74","804.78","","-0.11%"
"1995- 03- 14","808.24","804.46","809.20","802.29","","0.74%"
"1995- 03- 13","802.31","802.22","804.65","801.22","","0.01%"
"1995- 03- 10","802.22","795.96","802.37","795.54","","0.75%"
"1995- 03- 09","796.24","796.48","798.01","793.14","","0.05%"
"1995- 03- 08","795.81","793.05","795.82","791.32","","0.57%"
"1995- 03- 07","791.33","797.87","798.36","790.23","","-0.81%"
"1995- 03- 06","797.77","796.53","798.79","791.55","","-0.13%"
"1995- 03- 03","798.79","793.21","798.98","792.10","","0.64%"
"1995- 03- 02","793.68","792.40","793.72","790.61","","0.23%"
"1995- 03- 01","791.87","794.33","795.44","791.76","","-0.23%"
"1995- 02- 28","793.73","785.53","794.01","784.50","","1.18%"
"1995- 02- 27","784.50","789.55","791.08","783.68","","-0.83%"
"1995- 02- 24","791.08","790.80","791.99","787.04","","-0.03%"
