"날짜","종가","시가","고가","저가","거래량","변동 %"
"2014- 12- 31","4,736.05","4,790.53","4,806.43","4,734.11","422.14M","-0.87%"
"2014- 12- 30","4,777.44","4,793.61","4,803.89","4,772.88","316.50M","-0.61%"
"2014- 12- 29","4,806.91","4,801.26","4,813.72","4,798.90","312.34M","0.00%"
"2014- 12- 26","4,806.86","4,788.06","4,814.95","4,787.85","264.82M","0.70%"
"2014- 12- 24","4,773.47","4,770.12","4,787.57","4,768.67","195.60M","0.17%"
"2014- 12- 23","4,765.42","4,798.03","4,798.06","4,761.39","405.38M","-0.33%"
"2014- 12- 22","4,781.42","4,759.04","4,781.93","4,757.81","450.59M","0.34%"
"2014- 12- 19","4,765.38","4,752.60","4,782.13","4,738.29","1.29B","0.36%"
"2014- 12- 18","4,748.40","4,712.39","4,748.40","4,697.09","553.98M","2.24%"
"2014- 12- 17","4,644.31","4,556.90","4,651.90","4,550.70","573.50M","2.12%"
"2014- 12- 16","4,547.83","4,572.79","4,645.19","4,547.31","587.10M","-1.24%"
"2014- 12- 15","4,605.16","4,679.67","4,690.58","4,592.43","568.38M","-1.04%"
"2014- 12- 12","4,653.60","4,665.35","4,707.92","4,653.60","489.47M","-1.16%"
"2014- 12- 11","4,708.16","4,704.65","4,759.88","4,699.43","448.12M","0.52%"
"2014- 12- 10","4,684.02","4,754.42","4,766.64","4,679.24","481.57M","-1.73%"
"2014- 12- 09","4,766.47","4,685.20","4,768.41","4,674.38","484.64M","0.54%"
"2014- 12- 08","4,740.69","4,769.76","4,793.24","4,722.91","497.78M","-0.84%"
"2014- 12- 05","4,780.76","4,776.57","4,788.98","4,769.64","449.46M","0.24%"
"2014- 12- 04","4,769.44","4,772.00","4,785.41","4,753.71","448.63M","-0.11%"
"2014- 12- 03","4,774.47","4,761.31","4,781.37","4,745.14","450.70M","0.39%"
"2014- 12- 02","4,755.81","4,732.97","4,761.63","4,729.76","460.39M","0.60%"
"2014- 12- 01","4,727.35","4,777.73","4,782.07","4,724.62","481.09M","-1.34%"
"2014- 11- 28","4,791.63","4,797.10","4,810.86","4,786.72","300.15M","0.09%"
"2014- 11- 26","4,787.32","4,760.23","4,788.00","4,757.48","351.09M","0.61%"
"2014- 11- 25","4,758.25","4,762.39","4,774.52","4,749.92","491.47M","0.07%"
"2014- 11- 24","4,754.89","4,725.17","4,755.02","4,723.62","413.33M","0.89%"
"2014- 11- 21","4,712.97","4,751.01","4,751.60","4,700.73","550.29M","0.24%"
"2014- 11- 20","4,701.87","4,655.20","4,702.97","4,653.32","411.10M","0.56%"
"2014- 11- 19","4,675.71","4,694.78","4,696.20","4,655.72","427.48M","-0.57%"
"2014- 11- 18","4,702.44","4,674.84","4,709.83","4,674.30","421.88M","0.67%"
"2014- 11- 17","4,671.00","4,678.44","4,689.53","4,655.19","429.26M","-0.37%"
"2014- 11- 14","4,688.54","4,679.85","4,688.74","4,664.31","433.43M","0.18%"
"2014- 11- 13","4,680.14","4,681.56","4,703.10","4,664.27","457.99M","0.11%"
"2014- 11- 12","4,675.14","4,644.63","4,678.58","4,643.78","447.41M","0.31%"
"2014- 11- 11","4,660.56","4,649.19","4,661.23","4,640.24","411.43M","0.19%"
"2014- 11- 10","4,651.62","4,635.10","4,653.38","4,626.49","471.19M","0.41%"
"2014- 11- 07","4,632.53","4,636.89","4,638.80","4,606.81","475.31M","-0.13%"
"2014- 11- 06","4,638.47","4,616.78","4,639.17","4,604.76","482.30M","0.38%"
"2014- 11- 05","4,620.72","4,649.47","4,650.39","4,607.73","497.48M","-0.06%"
"2014- 11- 04","4,623.64","4,623.77","4,635.95","4,594.91","480.85M","-0.33%"
"2014- 11- 03","4,638.91","4,633.71","4,654.19","4,627.42","522.97M","0.18%"
"2014- 10- 31","4,630.74","4,639.45","4,641.51","4,616.58","659.76M","1.41%"
"2014- 10- 30","4,566.14","4,532.10","4,575.50","4,521.79","516.18M","0.37%"
"2014- 10- 29","4,549.23","4,551.37","4,564.44","4,517.02","543.05M","-0.33%"
"2014- 10- 28","4,564.29","4,505.73","4,564.29","4,505.11","507.39M","1.75%"
"2014- 10- 27","4,485.93","4,469.02","4,489.60","4,450.29","413.39M","0.05%"
"2014- 10- 24","4,483.72","4,459.46","4,486.26","4,445.85","446.47M","0.69%"
"2014- 10- 23","4,452.79","4,427.44","4,475.55","4,421.56","508.53M","1.60%"
"2014- 10- 22","4,382.85","4,429.16","4,435.86","4,381.28","501.41M","-0.83%"
"2014- 10- 21","4,419.48","4,359.17","4,419.48","4,356.10","492.35M","2.40%"
"2014- 10- 20","4,316.07","4,254.16","4,316.87","4,248.22","456.92M","1.35%"
"2014- 10- 17","4,258.44","4,275.09","4,296.11","4,241.67","667.36M","0.97%"
"2014- 10- 16","4,217.39","4,133.25","4,246.01","4,131.65","692.06M","0.05%"
"2014- 10- 15","4,215.32","4,154.10","4,231.54","4,116.60","794.03M","-0.28%"
"2014- 10- 14","4,227.17","4,246.23","4,281.34","4,212.82","652.38M","0.32%"
"2014- 10- 13","4,213.66","4,274.90","4,303.82","4,212.86","631.03M","-1.46%"
"2014- 10- 10","4,276.24","4,354.63","4,380.51","4,276.24","714.33M","-2.33%"
